email,n_samples,positive_rate,mean_score,accuracy,balanced_accuracy,brier_score,log_loss,roc_auc,eval_subset
charitytestuser46@yopmail.com,8,1.0,0.9821822643280029,1.0,,0.00031747163735529327,0.01797834535275781,,future_1_donations
charitytestuser7@yopmail.com,8,1.0,0.9813777804374695,1.0,,0.00034775628944982984,0.018798307134645163,,future_1_donations
charitytestuser274@yopmail.com,1,1.0,0.9475583434104919,1.0,,0.0027501273458518938,0.05386676776245894,,future_1_donations
charitytestuser269@yopmail.com,1,1.0,0.9450862407684326,1.0,,0.003015520952942552,0.056479095579925906,,future_1_donations
charitytestuser155@yopmail.com,1,1.0,0.9430280327796936,1.0,,0.0032458050489516665,0.05865926955861234,,future_1_donations
charitytestuser262@yopmail.com,2,1.0,0.9417867660522461,1.0,,0.0034220955256518693,0.05999520342031456,,future_1_donations
charitytestuser174@yopmail.com,2,1.0,0.9417678117752075,1.0,,0.003424521818120141,0.06001545379905672,,future_1_donations
charitytestuser196@yopmail.com,2,1.0,0.9412817358970642,1.0,,0.0034939894072785194,0.06053883079122706,,future_1_donations
charitytestuser21@yopmail.com,9,1.0,0.9500401020050049,1.0,,0.003547548148948149,0.05184902941044679,,future_1_donations
charitytestuser267@yopmail.com,1,1.0,0.9404059052467346,1.0,,0.0035514561294611724,0.06144368283069126,,future_1_donations
charitytestuser286@yopmail.com,2,1.0,0.9405725002288818,1.0,,0.0035793788254725456,0.0612935052378491,,future_1_donations
charitytestuser74@yopmail.com,1,1.0,0.9398776292800903,1.0,,0.0036146994609822514,0.06200559380937482,,future_1_donations
charitytestuser497@yopmail.com,1,1.0,0.9397948384284973,1.0,,0.0036246614798507437,0.062093684530571035,,future_1_donations
charitytestuser163@yopmail.com,2,1.0,0.9400703310966492,1.0,,0.0036341483584934053,0.06182467956831199,,future_1_donations
charitytestuser301@yopmail.com,2,1.0,0.9398823976516724,1.0,,0.0036807701866496956,0.06203827264594741,,future_1_donations
charitytestuser205@yopmail.com,2,1.0,0.9396663904190063,1.0,,0.0036881626480465,0.06225756246945817,,future_1_donations
charitytestuser87@yopmail.com,2,1.0,0.9393452405929565,1.0,,0.003692566631835703,0.0625799164271601,,future_1_donations
